name,url,address,local,rating,reviews_count,stars,price,latitude,longitude,distance_to_local,source,date_updated,name_upper,rating_text,region_name,distance_to_shore,count_rooms,count_photo
Гостиный двор Азатей,https://mirturbaz.ru/russia/irkutskaya/azatey,"Иркутская область, Ольхонский район, пос. Сахюрта, ул. Победы 10",Сахюрта,8.9,4.0,0.0,1000.0,53.023562,106.876761,193.0,MirTurbaz,01.03.2023,ГОСТИНЫЙ ДВОР АЗАТЕЙ,ОТЛИЧНО,Иркутская область,,5,32
Компот,https://mirturbaz.ru/russia/irkutskaya/gostevoy-dom8,"Иркутская область, Ольхонский район, п. Хужир",Хужир,,0.0,0.0,2600.0,53.191196,107.347118,230.0,MirTurbaz,01.03.2023,КОМПОТ,,Иркутская область,1140.0,2,35
База отдыха Маломорская,https://mirturbaz.ru/russia/irkutskaya/malomorskaya,"Иркутская область, Ольхонский район, поселок Сахюрта",Ольхонский район,,0.0,0.0,900.0,53.016001,106.880324,193.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА МАЛОМОРСКАЯ,,Иркутская область,,4,12
Гостевой дом Адмирал,https://mirturbaz.ru/russia/irkutskaya/usadba-daryana,"Иркутская область, о-в Ольхон, п. Хужир, ул. Обручева, 12",Хужир,9.0,4.0,0.0,3000.0,53.191586,107.346251,230.0,MirTurbaz,01.03.2023,ГОСТЕВОЙ ДОМ АДМИРАЛ,ВЕЛИКОЛЕПНО,Иркутская область,1100.0,5,35
Гостевой дом Панорама,https://mirturbaz.ru/russia/irkutskaya/panorama1,"Иркутская область, Ольхонский район, с.Сахюрта",Ольхонский район,9.4,12.0,0.0,5000.0,53.02052,106.882142,194.0,MirTurbaz,01.03.2023,ГОСТЕВОЙ ДОМ ПАНОРАМА,ВЕЛИКОЛЕПНО,Иркутская область,,3,26
Туристическая база Форт Байкал,https://mirturbaz.ru/russia/irkutskaya/fort-baykal,"Иркутская область, Иркутский район, пос. Байкал (падь Щелка)",Большие Коты,10.0,1.0,5.0,1500.0,51.873259,104.798069,58.0,MirTurbaz,01.03.2023,ТУРИСТИЧЕСКАЯ БАЗА ФОРТ БАЙКАЛ,ВЕЛИКОЛЕПНО,Иркутская область,1000.0,4,45
База отдыха Байкальский ветер,https://mirturbaz.ru/russia/irkutskaya/baykalskiy-veter,"Иркутская область, Ольхонский район. с. Черноруд",Ольхонский район,,0.0,0.0,2400.0,53.045383,106.779277,188.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА БАЙКАЛЬСКИЙ ВЕТЕР,,Иркутская область,60.0,3,23
База отдыха Домик у озера,https://mirturbaz.ru/russia/irkutskaya/domik-u-ozera,"Иркутская область, Слюдянский район, п. Утулик, ул. Российская, д.2",Утулик,8.8,1.0,0.0,5000.0,51.552353,104.059901,83.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ДОМИК У ОЗЕРА,ОТЛИЧНО,Иркутская область,215.0,4,36
Гостевой дом Федоров двор,https://mirturbaz.ru/russia/irkutskaya/fedorov-dvor1,"Иркутская область, Южный Байкал, Слюдянский район, поселок Утулик, ул. Снежная, 2",Утулик,,0.0,0.0,2000.0,51.5383721446486,104.056346859741,85.0,MirTurbaz,01.03.2023,ГОСТЕВОЙ ДОМ ФЕДОРОВ ДВОР,,Иркутская область,1790.0,5,45
База отдыха Шарыжалгай,https://mirturbaz.ru/russia/irkutskaya/sharyjalgay,"Иркутская область, Слюдянский район, 138 км по старой КБЖД",Слюдянский район,9.4,2.0,0.0,300.0,51.749712,103.971133,63.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ШАРЫЖАЛГАЙ,ВЕЛИКОЛЕПНО,Иркутская область,40.0,5,39
База отдыха Хадарта,https://mirturbaz.ru/russia/irkutskaya/hadarta,"Иркутская область, Ольхонский район, местность Халы, база отдыха «Хадарта»",Ольхонский район,9.9,2.0,0.0,5000.0,53.157,106.9193,202.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ХАДАРТА,ВЕЛИКОЛЕПНО,Иркутская область,485.0,10,45
Гостевой дом Байкал Йети,https://mirturbaz.ru/russia/irkutskaya/baykal-yeti,"Иркутская обл., Слюдянский р-он, п. Утулик, ул. Береговая, д. 12",Утулик,9.3,3.0,0.0,3000.0,51.53801,104.047453,85.0,MirTurbaz,01.03.2023,ГОСТЕВОЙ ДОМ БАЙКАЛ ЙЕТИ,ВЕЛИКОЛЕПНО,Иркутская область,,10,45
Гостевой дом ПятниЦЦа,https://mirturbaz.ru/russia/irkutskaya/na-baykale,"Иркутская область, Слюдянский район, п. Утулик, ул. Горная 40.",Утулик,,0.0,0.0,1700.0,51.537679,104.049029,85.0,MirTurbaz,01.03.2023,ГОСТЕВОЙ ДОМ ПЯТНИЦЦА,,Иркутская область,1990.0,8,45
Центр отдыха Да-Ши,https://mirturbaz.ru/russia/irkutskaya/da-shi,Иркутск,Шида,,0.0,0.0,4000.0,53.079444,106.805556,192.0,MirTurbaz,01.03.2023,ЦЕНТР ОТДЫХА ДА-ШИ,,Иркутская область,115.0,3,23
Отель Гранд Байкал,https://mirturbaz.ru/russia/irkutskaya/grand-baykal,"Иркутская обл., г. Байкальск, Красный Ключ мкр., д. 91л",Байкальск,,0.0,3.0,3900.0,51.5088752,104.1202077,87.0,MirTurbaz,01.03.2023,ОТЕЛЬ ГРАНД БАЙКАЛ,,Иркутская область,1970.0,8,45
База отдыха Байкал Майами,https://mirturbaz.ru/russia/irkutskaya/baykal-mayami,"Иркутская область, Ольхонский район, пос. Сахюрта, Переулок Степной, д.  3",Сахюрта,8.9,10.0,0.0,1500.0,53.0153,106.8897,194.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА БАЙКАЛ МАЙАМИ,ОТЛИЧНО,Иркутская область,,5,35
Парк-отель Соболинка,https://mirturbaz.ru/russia/irkutskaya/sobolinaya,"Иркутская обл., Слюдянский р-н, Байкальск г., квартал Красный Ключ, д. 90",Байкальск,,0.0,0.0,1750.0,51.5138,104.1216,87.0,MirTurbaz,01.03.2023,ПАРК-ОТЕЛЬ СОБОЛИНКА,,Иркутская область,1400.0,3,45
Коттеджный комплекс Русь,https://mirturbaz.ru/russia/irkutskaya/rus2,"Иркутская область, г. Байкальск, Байкальский тракт, 90",Байкальск,,0.0,0.0,9200.0,51.51388,104.121944,87.0,MirTurbaz,01.03.2023,КОТТЕДЖНЫЙ КОМПЛЕКС РУСЬ,,Иркутская область,1400.0,1,11
Гостиница Baikalski,https://mirturbaz.ru/russia/irkutskaya/baikalski,"Иркутская область, г. Байкальск, микрорайон Гагарина 169",Байкальск,9.7,3.0,0.0,850.0,51.522395,104.150386,85.0,MirTurbaz,01.03.2023,ГОСТИНИЦА BAIKALSKI,ВЕЛИКОЛЕПНО,Иркутская область,555.0,4,25
База отдыха Русь-Мандархан,https://mirturbaz.ru/russia/irkutskaya/rus-mandarkhan,"Иркутская область, Ольхонский район",Иркутский район,,0.0,0.0,350.0,53.041354,106.828265,191.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА РУСЬ-МАНДАРХАН,,Иркутская область,,4,15
Кемпинг Большая медведица,https://mirturbaz.ru/russia/irkutskaya/bolshaya-medvedica2,"Иркутская область, Ольхонский район, Куркутский залив, бухта Берлога",Ольхонский район,,0.0,0.0,400.0,53.031125,106.85123,192.0,MirTurbaz,01.03.2023,КЕМПИНГ БОЛЬШАЯ МЕДВЕДИЦА,,Иркутская область,,6,16
База отдыха Жемчужина Байкала,https://mirturbaz.ru/russia/irkutskaya/jemchujina-baykala,"Иркутская область, Иркутский район, п. Бол. Голоустное, падь Ушканья",Большое Голоустное,9.3,2.0,0.0,8000.0,52.078889,105.500278,86.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ЖЕМЧУЖИНА БАЙКАЛА,ВЕЛИКОЛЕПНО,Иркутская область,,4,45
База отдыха Звезда кочевника,https://mirturbaz.ru/russia/irkutskaya/baza-zvezda-kochevnika,"Иркутская область, Ольхонский р-н, о-в Ольхон, п. Хужир, ул. Пляжная, 18",Хужир,,0.0,0.0,900.0,53.198411,107.355759,230.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ЗВЕЗДА КОЧЕВНИКА,,Иркутская область,720.0,3,32
База отдыха Ветер Байкала,https://mirturbaz.ru/russia/irkutskaya/veter-baykala,"Россия, Иркутская область",Еланцы,8.8,2.0,0.0,2000.0,53.022694,106.84775,192.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ВЕТЕР БАЙКАЛА,ОТЛИЧНО,Иркутская область,,3,21
База отдыха Байкал,https://mirturbaz.ru/russia/irkutskaya/baza-baykal,"Иркутская область, п. Листвянка",Поселок Листвянка,8.6,2.0,0.0,1800.0,51.856938,104.86011,62.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА БАЙКАЛ,ОТЛИЧНО,Иркутская область,120.0,3,13
База отдыха Байкалика,https://mirturbaz.ru/russia/irkutskaya/baykalika,"Иркутская область, пос. Листвянка",Поселок Листвянка,8.8,2.0,0.0,900.0,51.856871,104.861955,62.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА БАЙКАЛИКА,ОТЛИЧНО,Иркутская область,200.0,4,20
База отдыха Воробьевы горы,https://mirturbaz.ru/russia/irkutskaya/vorobevy-gory,"Иркутская область, Иркутск, ул. Свердлова, 19 - 118",Иркутск,10.0,2.0,0.0,7000.0,53.000883,106.885886,193.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ВОРОБЬЕВЫ ГОРЫ,ВЕЛИКОЛЕПНО,Иркутская область,300.0,9,45
База отдыха Уюга,https://mirturbaz.ru/russia/irkutskaya/uyuga,"Иркутская область, Ольхонский район, местность Уюга",Ольхонский район,,0.0,0.0,2400.0,53.168219,106.94851,205.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА УЮГА,,Иркутская область,615.0,9,11
База отдыха Серебряный источник,https://mirturbaz.ru/russia/irkutskaya/serebryanyy-istochnik1,Иркутская область,Малое море,,0.0,0.0,600.0,53.18907,106.971882,207.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА СЕРЕБРЯНЫЙ ИСТОЧНИК,,Иркутская область,,3,11
База отдыха Ветер странствий,https://mirturbaz.ru/russia/irkutskaya/veter-stranstviy,"Иркутская область, пос. Сахюрта",Сахюрта,,0.0,0.0,400.0,53.022889,106.877664,193.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ВЕТЕР СТРАНСТВИЙ,,Иркутская область,,10,29
Турбаза Чайка,https://mirturbaz.ru/russia/irkutskaya/chayka2,"Иркутская область, Ольхонский район",Ольхонский район,,0.0,0.0,600.0,53.02193,106.824028,190.0,MirTurbaz,01.03.2023,ТУРБАЗА ЧАЙКА,,Иркутская область,,12,9
База отдыха Шаманка,https://mirturbaz.ru/russia/irkutskaya/shamanka1,"Иркутская область, пос. Хужир",Хужир,,0.0,0.0,1500.0,53.199635,107.352162,230.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ШАМАНКА,,Иркутская область,500.0,4,16
База отдыха Радуга,https://mirturbaz.ru/russia/buryatiya/centr-raduga,"Республика Бурятии, Баргузинский район, с. Максимиха",Баргузинский район,,0.0,3.0,650.0,53.268867,108.75635,178.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА РАДУГА,,Республика Бурятия,330.0,6,45
Гостевой дом Бургэд,https://mirturbaz.ru/russia/buryatiya/baza-burged,"Республика Бурятия, Баргузинский район, с. Максимиха, ул. Баргузинская, 5-2.",,,0.0,0.0,1200.0,53.267632,108.733046,177.0,MirTurbaz,01.03.2023,ГОСТЕВОЙ ДОМ БУРГЭД,,Республика Бурятия,30.0,6,10
Гостевой дом Чарон,https://mirturbaz.ru/russia/buryatiya/charon,"Россия, Республика Бурятия, с. Старый Энхалук, улица Солнечная, д. 23",Кабанский район,,0.0,0.0,5000.0,52.498672,106.995527,84.0,MirTurbaz,01.03.2023,ГОСТЕВОЙ ДОМ ЧАРОН,,Республика Бурятия,10.0,3,20
Турбаза Байкальская солянка,https://mirturbaz.ru/russia/buryatiya/baykalskaya-solyanka,"Республика Бурятия, пос. Новый Энхалук, ул. Лесная, 17",,,0.0,0.0,1350.0,52.484207,106.968873,84.0,MirTurbaz,01.03.2023,ТУРБАЗА БАЙКАЛЬСКАЯ СОЛЯНКА,,Республика Бурятия,295.0,6,32
База отдыха Теремки,https://mirturbaz.ru/russia/buryatiya/teremki,"Республика Бурятия, Кабанский район, Старый Энхалук.",Кабанский район,,0.0,0.0,800.0,52.499528,106.999333,84.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ТЕРЕМКИ,,Республика Бурятия,90.0,1,14
База отдыха Адреналин,https://mirturbaz.ru/russia/buryatiya/adrenalin,"Республика Бурятия, Прибайкальский район, с. Горячинск",Прибайкальский,,0.0,0.0,1000.0,52.983535,108.297885,137.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА АДРЕНАЛИН,,Республика Бурятия,1250.0,1,6
База отдыха Березка,https://mirturbaz.ru/russia/buryatiya/berezka,"Руспублика Бурятия, Байкальский прибой",Прибайкальский,,0.0,0.0,1100.0,51.938307,106.198154,96.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА БЕРЕЗКА,,Республика Бурятия,350.0,1,8
База отдыха Жарки,https://mirturbaz.ru/russia/buryatiya/jarki,"Республика Бурятия, поселок Байкальский прибой, Посольский сор",Кабанский район,,0.0,0.0,250.0,51.935137,106.193157,96.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ЖАРКИ,,Республика Бурятия,75.0,1,6
База отдыха Энергия,https://mirturbaz.ru/russia/buryatiya/energiya1,"Республика Бурятия, поселок Байкальский прибой, Посольский сор",Кабанский район,9.4,2.0,0.0,1150.0,51.923157,106.168425,98.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА ЭНЕРГИЯ,ВЕЛИКОЛЕПНО,Республика Бурятия,10.0,2,26
База отдыха Байкал-Лидер,https://mirturbaz.ru/russia/buryatiya/baykal-lider,"Республика Бурятия, поселение Усть-Баргузин, село Максимиха",Усть-Баргузин,,0.0,0.0,1300.0,53.267321,108.732445,177.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА БАЙКАЛ-ЛИДЕР,,Республика Бурятия,60.0,2,7
База отдыха Колос,https://mirturbaz.ru/russia/buryatiya/baza-kolos2,"Республика Бурятия, Баргузинский район, село Максимиха",Баргузин,,0.0,0.0,1100.0,53.268228,108.722979,177.0,MirTurbaz,01.03.2023,БАЗА ОТДЫХА КОЛОС,,Республика Бурятия,,2,8
